"","text"
"Mach_142.txt.content","deeds.  His son Antoninus was also a man with many very fine qualities, who was greatly admired by the people and liked by the soldiers. For he was a hardened warrior, who despised delicate food and any kind of weakness; this endeared him to all his soldiers. Nevertheless, he committed very many deeds of unexampled barbarity and cruelty: countless individuals were killed, as well as most of the inhabitants of Rome and all those of Alexandria. As a result, he became greatly hated by everyone. Even those around him began to be afraid of him, and one day he was killed by a centurion in the midst of his own troops.  Here it should be remarked that such assassinations, which result from the resolve of implacable enemies, cannot be guarded against by rulers, because anyone who does not fear death himself can kill a ruler. But since this happens very rarely, a ruler should be much less afraid of it. He should be careful only not to harm seriously or insult anyone who serves him or any courtiers, as Antoninus did: he had outrageously put to death a brother of that centurion, and had continually threatened the centurion himself; yet he kept the man in his bodyguard. This was a "
"Mach_143.txt.content","rash decision and likely to cause his downfall, as indeed happened.  But let us consider Commodus, who should have found it very easy to retain power, since he had inherited it from his father Marcus. He needed only to follow in the footsteps of his father, and he would have satisfied both the soldiers and the people. But because he was naturally cruel and brutal, he began to curry favour with the soldiers and let them behave as they liked so as to satisfy his rapacity at the people's expense. Moreover, he was not careful to uphold his dignity, for he often went down into the theatres to fight with the gladiators; as he did other things that were very degrading, and not in keeping with his imperial rank, he became despised by the soldiers. Since he was hated by the people and despised by the soldiers, he was conspired against and killed. "
"Mach_144.txt.content"," It remains to discuss the character of Maximinus. He was an extremely warlike man; and since the soldiers had greatly disliked the unmanly conduct of Alexander (whom I have mentioned earlier), after he had been killed the soldiers chose Maximinus as emperor. But he did not retain· power for very long, because two things made him hated and despised. One was that he was of very low birth: he had been a shepherd in Thrace (this was well known to everybody and caused him to be greatly despised). The other was that, at the beginning of his rule, he had put off going to Rome and taking possession of the imperial throne. This delay earned him a reputation for being cruel, because his prefects, carrying out his orders, had committed many cruel acts, both in Rome and in many other parts of the Empire. The result was that, since everyone was outraged by his low birth and filled with hatred, and "
"Mach_145.txt.content","because they were afraid of his brutality, first Africa revolted, then the senate and all the people of Rome; then the rest of ltaly rose up against him. Finally, his own army rebelled: his troops were besieging Aquileia, which they found a difficult operation; they became angry at his harshness, and taking courage from knowing that so many had turned against him, they killed him.  I do not wish to discuss Heliogabalus, Macrinus or Julianus: because they were generally despised, they were soon killed. I want to bring this survey to a close. I maintain that the rulers of our own times are not troubled by the need to satisfy their soldiers by violent and illegal means. Although they have to pay some attention to them, any problems are quickly resolved, because none of these rulers has raised armies that are used to being together for long periods, controlling and "
"Mach_146.txt.content","administering provinces, as the armies of the Roman Empire did. Hence, if it was then more necessary to satisfy the soldiers than the people, it was because the soldiers were more powerful.  Nowadays, for all rulers, except the Sultans of Turkey and Egypt, it is more necessary to satisfy the people than the soldiers, because the people are now more powerful. The Sultan of Turkey is an exception because he always keeps twelve thousand foot-soldiers and fifteen thousand cavalry in his service near him, and the security and strength of his Kingdom depends on these forces. Hence, he must keep these forces friendly, and pay more regard to them than to others. Likewise, since the Kingdom of the Sultan of Egypt is completely in the hands of the soldiers, he too is obliged to keep them friendly, without considering what the people may want. Moreover, it should be noted that this Sultan's state is different from every other principality.  It resembles the Papacy (which cannot be called either an hereditary principality or a new principality): for it is not the sons of the old ruler who are the heirs, and then become rulers, but the man who is elected to that position by those who are authorised. Since this institution is ancient, it cannot be called a new principality, for it lacks all the problems encountered in new principalities. Although its ruler is certainly new, the institutions of the state are old, and are ready to receive him as if he were an hereditary ruler. "
"Mach_147.txt.content"," But let us return to our subject. I maintain that anyone who considers what I have written will realise that either hatred or contempt led to the downfall of the emperors I have discussed; he will recognise that some of them acted in one way and others in the opposite way, and that one ruler in each group was successful and the others ended badly. Because Pertinax and Alexander were new rulers, it was useless and harmful for them to act like Marcus, who was an hereditary ruler. Likewise, it was harmful for Caracalla, Commodus and Maximinus to act like Severus, because they lacked the ability required to follow in his footsteps. Therefore, a new ruler in a new principality ccmnot imitate the conduct of Marcus, nor again is it necessary to imitate that of Severus. Rather, he should imitate Severus in the courses of action that are necessary for establishing himself in power, and imitate Marcus in those that are necessary for maintaining power that is already established and secure, thus achieving glory. "
"Mach_148.txt.content"," XX: Whether building fortresses, and many other things that rulers frequently do, are useful or not  To maintain their power more securely, some rulers have disarmed their subjects; others have encouraged factions in towns subject to them; others have fostered hostility against themselves; others have sought to win over those of whom they were suspicious when they began to rule; some have built fortresses and others have destroyed them. Although a definite judgement cannot be passed on all these measures, unless the particular circumstances of those states in which such decisions are taken are examined, nevertheless I shall discuss the subject in terms as general as it permits.  New rulers, then, never disarm their subjects; indeed, if they find them unarmed, they always provide them with weapons. For when you arm them, these weapons become your own: those whom you distrusted become loyal, those who were loyal remain so, and subjects are "
"Mach_149.txt.content","converted into firm adherents. Since it is not possible to provide all your subjects with arms, when you benefit those whom you arm, you will also be able to secure yourself better against the others. Since the former are treated favourably, they will be more attached to you. The latter will excuse your conduct, because they will realise the need to treat favourably those who carry out more dangerous duties.  But if you disarm your subjects, you begin to offend them, for you show that you do not trust them, either because you are weak and cowardly or because you are too suspicious. And both these reasons cause you to become hated. Since you cannot remain without military forces, you will be forced to resort to employing mercenary troops which will be of the stamp I have previously indicated. And even if they happen to be effective, they cannot be sufficiently effective to defend "
"Mach_15.txt.content","conquered. They established colonies, they had friendly relations with the less powerful (though without increasing their influence), they put down the powerful, and they ensured that strong foreign powers did not acquire influence in them.  I shall cite only Greece as an example. The Romans established friendly relations with the Achaeans and the Aetolians; the Macedonian Kingdom was put down; Antiochus was driven out;e they never permitted the Achaeans and the Aetolians to augment their power, despite the good offices rendered by them; Philip sought to be accepted as their ally, but they would not permit any revival of his power; and even the might of Antiochus could not constrain them to let him hold any dominions in that country.  The Romans acted in these circumstances as all wise rulers should: for they have to deal not only with existing troubles, but with troubles that are likely to develop, and have to use every means to overcome "
"Mach_150.txt.content","you against powerful enemies and hostile subjects.  As I have said, then, new rulers of new principalities always arm their subjects. History is full of examples of this. But when a ruler annexes a state, which is joined like a member to his old one, he must then disarm the inhabitants of that state, except those who have helped him to annex it. However, in time, and as opportunity permits, even these must be rendered weak and harmless, and you must arrange matters so that all the arms of your enlarged state are in the hands of your own soldiers, who served under you in your old state.  Our ancestors, and those who were thought to be wise, used to say that it was necessary to hold Pistoia by means of the factions and Pisa by using fortresses. Accordingly, they fostered discords between their subjects in some towns, so that they could maintain their hold on them "
"Mach_151.txt.content","more easily. This policy may have been sound in the period when there was a certain equilibrium in Italy; but I do not think that it should be imitated today. My own view is that divisions never benefit anyone; on the contrary, when faction-ridden cities are threatened by an enemy force, they always fall very quickly. The reason is that the weaker faction always rallies to the invader, and the other is not strong enough to resist.  The Venetians used to foster the Guelph and Ghibelline factions in their subject-cities (acting for the reasons mentioned above, I think); although they never permitted bloodshed, they were careful to foment discords among them, so that the citizens would be so absorbed in their quarrels that they would not unite against the Venetians. This policy did not profit them, as was seen: after their defeat at Vaila, some of these cities were immediately emboldened to revolt, and they deprived "
"Mach_152.txt.content","the Venetians of all their land empire. The use of such methods, then, indicates that a ruler is weak: such divisions are never permitted in a strong principality, for they are useful only in peacetime, when they can be used to control one's subjects more easily. But when war comes, the folly of such methods becomes apparent.  There is no doubt that rulers become great when they overcome difficulties and the attacks directed against them. For this reason fortune) especially when it wants to increase the power of a new ruler (who has more need to gain a reputation than an hereditary one) encourages the growth of enemies, and makes him fight against them, so that he will be able to vanquish them, and thus rise higher, as if by a ladder that his enemies have provided him with. Accordingly, many people consider that a shrewd ruler should seize any opportunity to "
"Mach_153.txt.content","encourage hostile forces cunningly, so that when he crushes them his reputation and power will be greatly increased.  Rulers (especially new rulers) have often found that men whom they had regarded with suspicion in the early stages of their rule prove more reliable and useful than those whom they had trusted at first. Pandolfo Petrucci, ruler of Siena, governed his state more with the help of those men of whom he had been suspicious than with anyone else. But it is very difficult to generalise about this, since men and circumstances vary. I shall say only that a ruler will always find it very easy to win over those men who were hostile to him in the early stages of his regime, but who were insufficiently powerful to maintain their position without help. For their part, they are constrained to serve him faithfully, because they are well aware how necessary it is for them to act in such a way as to cancel his initially unfavourable view of them. Thus, he will always find them more useful than those who, because they feel very secure in their positions, tend to neglect his affairs. "
"Mach_154.txt.content"," Moreover, since this matter is important, I do not want to fail to remind any ruler who has recently gained power through being favoured by the inhabitants that he should be well aware of the reasons why those who helped him to gain power acted as they did. If it was not from natural affection for him, but only because they were discontented with the previous government, it will be very difficult and troublesome to keep them friendly, because he will not be able to satisfy them. Considering the reason for this (in the light of instances drawn from ancient and modern history), it is clear that it is much easier to win over men who are hostile to him because they were content under the previous regime than it is to keep attached to him those who became friendly towards him and helped him to become ruler because they "
"Mach_155.txt.content","were disaffected.  Rulers have been accustomed to build fortresses to strengthen their power. These serve as a bit and bridle for those who might plot against them, and are designed to provide a secure refuge if they should be subjected to a sudden attack. I praise this practice, because it has been used since ancient times. Nevertheless, in our own times, Niccolo Vitelli destroyed two fortresses in Citta di Castello, so that he could maintain his rule over it.b Guido Ubaldo, Duke of Urbino, when he returned to his dominions, from which Cesare Borgia had driven him out,' razed to the ground all the fortresses of that region, because he considered that their destruction would make it less likely that he would lose power again. And when the Bentivoglio returned to power in Bologna they followed the same policy.  Fortresses are sometimes useful, then, and sometimes not; it "
"Mach_156.txt.content","depends on the circumstances. Moreover, if they help you in some respects, they will be harmful in others. The subject may be clarified in the following way: if a ruler is more afraid of his own subjects than of foreigners, he should build fortresses; but a ruler who is more afraid of foreigners than of his own subjects should not build them. The castle of Milan, built by Francesco Sforza, has been and will be a source of more trouble to the Sforza family than any other disorder of that state Hence, the best fortress a ruler can have is not to be hated by the people: for if you possess fortresses and the people hate you, having fortresses will not save you, since if the people rise up there will never be any lack of foreign powers ready to help them. Fortresses have never been an advantage to any ruler of recent times, except the Countess of Forli, when her husband Count Girolamo was assassinated. For the fortress there provided her with a refuge from the popular uprising: she was able to await help from Milan and then regain power. The "
"Mach_157.txt.content","circumstances were such that no foreign power was able to help the people. But fortresses were of little use to her later, when Cesare Borgia attacked, and her hostile subjects rallied to the invading forces. Hence, on both occasions, not being hated by the people would have made her more secure than any fortresses did.  Bearing in mind all these things, then, I praise anyone who builds fortresses and anyone who does not, and I criticise anyone who relies upon fortresses, and does not worry about incurring the hatred of the people.  XXI:  How a ruler should act in order to gain reputation  Nothing enables a ruler to gain more prestige than undertaking great campaigns and performing unusual deeds. In our own times Ferdinand of Aragon, the present King of Spain is a notable example. He might almost be called a new ruler because, from being a weak king, he has "
"Mach_158.txt.content","become the most famous and glorious king in Christendom. And if his achievements are examined, they will all be found to be very remarkable, and some of them quite extraordinary. This man attacked Granada at the beginning of his reign, and this campaign laid the foundations of his state. First of all, he began this campaign when things were quiet and when he was not afraid of being opposed: he kept the minds of the barons of Castile occupied with that war, so that they would not plan any revolts. And he meanwhile was acquiring prestige, and increasing his hold over them before they were even aware of the fact. He was able to maintain armies with money from the Church and from his subjects, and during that long war he was able to develop a powerful army, whose achievements have subsequently brought him so much honour. Moreover, in order to undertake even greater campaigns, he continued to make use of religion, resorting to a cruel and apparently pious policy of unexampled wretchedness: that of hunting down the Moors and driving them out of his Kingdom. Using this same cloak, he attacked Africa; he invaded ltaly; and recently he has attacked France. Thus he has always plotted and achieved great things, which have never failed to keep his subjects in a state of suspense and amazement, as they await their outcome. And these deeds of his have followed one another so quickly that nobody has had enough time to be able to initiate a revolt against him. "
"Mach_159.txt.content"," It is also very beneficial for a ruler to perform very unusual deeds within his kingdom, such as those recorded about messer Bernabo, the ruler of Milan. When it happens that someone does something extraordinary (whether good or bad) in social or political life, he should hit on some way of rewarding or punishing him that will be much talked about. Above all, a ruler must contrive to achieve through all his actions the reputation of being a great man of outstanding intelligence.  A ruler is also highly regarded if he is either a true ally or an outright enemy, that is, if he unhesitatingly supports one ruler against another. This policy is always better than remaining neutral, since if two powerful rulers near you come to blows, either the eventual victor will become a threat to you, or he will not. In either situation, it will always be wiser to intervene in favour of one side and fight strongly. For in the former situation, if you do not declare yourself, you will always be liable to be despoiled by the victor (which would please and satisfy the loser), and you will deservedly be defenceless and friendless. For the victor does not want unreliable allies who did not help him when he was hard pressed; and the loser will not show you any favour, because you did not want to run the risk of sharing his fate by assisting him militarily. "
"Mach_16.txt.content","them. For if the first signs of trouble are perceived, it is easy to find a solution; but if one lets trouble develop, the medicine will be too late, because the malady will have become incurable. And what physicians say about consumptive diseases is also true of this matter, namely, that at the beginning of the illness, it is easy to treat but difficult to diagnose but, if it has not been diagnosed and treated at an early stage, as time passes it becomes easy to diagnose but difficult to treat. This also happens in affairs of state; for if one recognises political problems early (which only a shrewd and far-seeing man can do), they may be resolved quickly, but if they are not recognised, and left to develop so that everyone recognises them, there is no longer any remedy.  The Romans, therefore, because they perceived troubles when they "
"Mach_160.txt.content"," Antiochus invaded Greece, invited there by the Aetolians in order to drive out the Romans. Antiochus sent envoys to the Achaeans, who were allies of the Romans, to advise them to remain neutral. On the other hand, the Romans exhorted them to take up arms on their behalf. This matter was discussed at a meeting of the Achaeans at which the envoy of Antiochus exhorted them to remain neutral. To this the Roman envoy replied: 'Quod autem isti dicunt non interponendi vos bello, nihil magis alienum rebus vestris est; sine gratia, sine dignitate, praemium victoris eritis.'   A ruler who is not an ally will always want you to remain neutral, whereas one who is your ally will always want your armed support. In order to avoid present dangers, irresolute rulers usually prefer to remain neutral, and very often this is their undoing. However, let us assume that you strongly support one of the parties, who then emerges "
"Mach_161.txt.content","victorious: even if he is powerful and you are at his mercy, he is beholden to you and friendship is established between you. And men are never so dishonourable that they would attack you in such circumstances, and display so much ingratitude. Moreover, victories are never so decisive that the victor does not need to be careful, and especially about acting justly. But if the ruler whom you help loses, he will show gratitude to you and will help you as far as he can; thus you become an ally in a cause that may flourish again.  In the second situation (when the rulers fighting each other cannot be a threat to you), it is wiser still to intervene: because you will contribute to the downfall of one ruler, and are helped by another ruler who, if he had been wise, would have saved him; and if together you "
"Mach_162.txt.content","win, the ruler whom you help will be at your mercy. (And it is certainly to be expected that he will overcome his enemy, since he has your help.)  Here it should be observed that a ruler should be careful never to ally himself with a ruler who is more powerful than himself in order to attack other powers, unless he is forced to, as has been said above. For if you are victorious together, you will be at his mercy, and rulers should do their best to avoid being at the mercy of other powers. The Venetians allied themselves with France against the Duke of Milan; they could have avoided this alliance, and the outcome was their downfall. But if it is not possible to avoid such a commitment (as happened to the Florentines, when the Pope and the King of Spain launched an attack against Lombardy), a ruler should then become involved for the reasons previously mentioned. "
"Mach_163.txt.content"," No government should ever believe that it is always possible to follow safe policies. Rather, it should be realised that all courses of action involve risks: for it is in the nature of things that when one tries to avoid one danger another is always encountered. But prudence consists in knowing how to assess the dangers, and to choose the least bad course of action as being the right one to follow.  A ruler should also show himself a lover of talent, and honour those who excel in any art. Moreover, he should encourage the citizens to follow quietly their ordinary occupations, both in trade and agriculture and every other kind, so that one man is not afraid to improve or increase his possessions for fear that they will be taken from him, and another does not hesitate to begin to trade for fear of the taxes that will be levied. Rather, he should offer rewards to anyone who wants to do such things, ahd to anyone who seeks in any way to improve his city or country. Furthermore, at appropriate times of the year, he should keep the people entertained with feasts and spectacles. And since every city is divided into guilds or family groups he should pay due attention to these groups, meeting them from time to time, and performing acts that display his own affability and munificence. But he should always be "
"Mach_164.txt.content","careful to preserve the prestige of his office, for this is something that should never be diminished.  XXII: The secretaries of rulers  The choosing of ministers is a very important matter for a ruler: whether or not they are good depends on whether he is shrewd. The first indications of the intelligence of a ruler are given by the quality of the men around him. If they are capable and loyal, he should always be taken to be shrewd, because he was able to recognise their ability and retain their loyalty. But if they are mediocre and disloyal, a low estimate of him will never be mistaken, because the most important error he has made is to choose them.  Nobody who knew messer Antonio da Venafro as minister of Pandolfo Petrucci, ruler of Siena, could fail to judge Pandolfo a very able man, just because he had Antonio as his minister. There are three "
"Mach_165.txt.content","kinds of mind: the first grasps things unaided; the second when they are explained; the thit:d never understands at all. The first kind is exceptionally good, the second very good, the third useless. Consequently, even if Pandolfo did not belong to the first category, he certainly belonged to the second. For if a ruler shows judgement in discerning the worth of what another man says and does (even if he himself lacks originality of mind), he can discern the good or bad deeds of his minister, and reward the former but punish the latter. And since the minister realises that he cannot deceive his master, he is careful to behave well.  There is an infallible way for a ruler to weigh up a minister. If you realise that he is thinking more about his own affairs than about yours, and that all his actions are designed to further his own interests, he will never make a good minister, and you can never trust him. For a man "
"Mach_166.txt.content","who governs a state' should never think about himself or his own affairs but always about the ruler, and concern himself only with the ruler's affairs. On the other hand, in order to ensure the minister's fidelity, the ruler should look after him, by honouring him, enriching him, attaching him to himself, conferring honours and offices on him; in short, treating the minister so that he will realise that he depends upon the ruler, and the many honours and riches will not make him want even more honours and riches, and his many offices will make him fear change. If ministers and rulers have such a relationship, then, each will have confidence in the other; but if they do not, the outcome will always be that one or the other is harmed.  XXIII: How flatterers should be shunned  I do not want to leave undiscussed an important subject, about which "
"Mach_167.txt.content","rulers easily make mistakes, unless they are very shrewd and are skilful at choosing men. I refer to flatterers, who are found everywhere in courts; for men are so wrapped up in their own affairs, in which they are so liable to make mistakes, that it is hard to defend oneself from this plague. Moreover, some ways of thing to protect oneself from flatterers involve the risk of becoming despised.  For the only way to protect yourself from flattery is by letting it be known that being told the truth does not offend you. However, if anyone may speak frankly to you, respect for you will soon disappear. Therefore, a wise ruler will follow another way, and choose shrewd men for his service, permitting them alone to speak frankly, but only when he asks them and not otherwise. But he should ask them about everything, listen carefully to their views, and then make his own "
"Mach_168.txt.content","decisions. He should so conduct himself with his advisers that they will all realise that the more candidly they speak the more acceptable they will be. Apart from those he has chosen, he should refuse to listen to anyone, but pursue his aims steadfastly and not waver about decisions he has taken. Any ruler who does not act in this way either comes to grief among flatterers or changes his decisions often because of the conflicting advice he receives; as a result, he  will be held in little esteem.  I should like to cite a modern example of this. Father Luca, adviser of the present Emperor Maximilian, speaking about His Majesty, said that he never consulted anyone, and yet never acted as he really wanted; this resulted from his failing to behave in the way I have advised above. For the Emperor is a secretive man; he does not let anyone know what plans he has, and he does not seek advice. However, as he begins to "
"Mach_169.txt.content","carry out his plans, those in his court get to know about them, and then advise him to act differently. And since he is not of firm character, he allows himself to be dissuaded. This is why what he orders one day is countermanded the next, why it is never known what he wants or proposes to do, and why nobody can rely upon his decisions.  A ruler, then, should never lack advice, but should have it when he wants it, not when others want to give it; rather, he should discourage anyone from giving advice uninvited. Nevertheless, he should be very ready to seek information and opinions and to listen patiently to candid views about matters that he raises. Indeed, if he learns that anyone is reticent for any reason, he should be angry.  Although many hold that a ruler may properly be considered shrewd because of the high quality of his advisers, and not because he himself "
"Mach_17.txt.content","were merely brewing, were always able to overcome them. They never allowed them to develop in order to avoid fighting a war, for they knew that wars cannot really be avoided but are merely postponed to the advantage of others. This was why they wanted to wage war against Philip and Antioch us in Greece, so that they could avoid having to fight them in Italy; it was possible for them to have avoided fighting both of them in Greece, but they were resolved not to .. Moreover, the Romans never accepted a maxim heard every day on the lips of our own sages, to seek to benefit from temporising. They preferred to enjoy the benefits that derived from their own strength and prudence; because time brings all things with it, and can produce benefits as well as evils, evil as well as benefits.  However, let us return to the King of France, and examine whether "
"Mach_170.txt.content","is shrewd, this is undoubtedly a mistaken view. For it is an infallible rule that a prince who is not himself wise cannot be soundly advised, unless he happens to put himself in the hands of a man who is very able and controls everything. Then he could certainly be well advised, but he would not last long, because such a governor would soon deprive him of his state. But if a ruler who is not shrewd takes advice from several men, he will always hear conflicting opinions, and will be incapable of reconciling them. For his advisers will all be thinking primarily of their own interests; and he will not understand this tendency or be able to control them. And this is inevitable because men will always prove of doubtful loyalty unless compelled to be faithful. Therefore, it should be concluded that good advice, from whomsoever it may come, must have "
"Mach_171.txt.content","its source in the shrewdness of the ruler; the ruler's shrewdness cannot derive from sound advice.  XXIV: Why the rulers of Italy have lost their states  If the above-mentioned measures are put into practice skilfully, they will make a new ruler seem very well established, and will quickly make his power more secure and stable than if he had always been a ruler. The actions of a new ruler are much more closely observed than those of an hereditary ruler. And if his actions are thought to be those of an able man, people are much more impressed and much more attached to him than if he had been of ancient lineage. For men are much more interested in present things than in those that are past, and if they find that their affairs are flourishing, they are content and do not seek changes. Indeed, they will do everything possible to defend a new ruler, as long as he is not deficient in other respects. Thus he will acquire a double glory: both for having founded a new principality, and for having adorned and strengthened it with good laws, strong arms, "
"Mach_172.txt.content","reliable allies and exemplary conduct. But a man who inherits a principality and loses it through lack of foresight and skill incurs a double disgrace.  If one considers those Italian rulers who have lost power in recent times, such as the King ofNaples, the Duke of Milan and others, one finds in them, first, a common military weakness, for the reasons that have been discussed at length; secondly, one finds that some of them had the people hostile to them, and that others, although they kept the people friendly, were unable to secure their position against the nobles.  For without these weaknesses, states that have the capacity to maintain an army in the field are not lost. Philip of Macedon (not the father of Alexander, but the one defeated by Titus Quintus) did not have much power and territory, compared with the might of Rome and Greece, which attacked him. Nevertheless, because he was a genuine warrior, "
"Mach_173.txt.content","and knew how to win over the people and how to deal with the nobles, he was able to carry on the war against them for many years. And although he eventually lost control of some cities, he still kept his Kingdom.  Therefore, those of our rulers who lost their principalities, after having ruled them for many years, should not lament their bad luck but should blame their own indolence. For in quiet times they never thought that things could change (it is a common human failing when the weather is fine not to reckon on storms). When difficult times came, they thought only of fleeing and not of defending themselves; and they hoped that the people, angered by the arrogant conduct of the conquerors, would restore them to power. This policy is sound if no other is possible, but it is very bad to neglect other policies and choose this one. A man should never risk falling because he thinks it likely that he will be rescued. This may not happen, but even if it does it will not make you secure; such a defence is weak and cowardly, because it is outside your control. Only those defences that are under your control and based on your own ability are effective, certain and lasting. "
"Mach_174.txt.content"," XXV: How much power fortune has over human affairs, and how it should be resisted  I am not unaware that many have thought, and many still think, that the affairs of the world are so ruled by fortune and by God that the ability of men cannot control them. Rather, they think that we have no remedy at all; and therefore it could be concluded that it is useless to sweat much over things, but let them be governed by fate. This opinion has been more popular in our own times because of the great changes that have taken place and are still to be seen even now, which could hardly have been predicted. When I think about this, I am sometimes inclined, to some extent, to share this opinion. Nevertheless, so as not to eliminate human freedom, I am disposed to hold that fortune is the arbiter of half our actions, but that it lets us control roughly the other "
"Mach_175.txt.content","half.  I compare fortune to one of those dangerous rivers that, when they become enraged, flood the plains, destroy trees and buildings, move earth from one place and deposit it in another. Everyone flees before it, everyone gives way to its thrust, without being able to halt it in any way. But this does not mean that, when the river is not in flood, men are unable to take precautions, by means of dykes and dams, so that when it rises next time, it will either not overflow its banks or, if it does, its force will not be so uncontrolled or damaging.  The same happens with fortune, which shows its powers where no force has been organised to resist it, and therefore strikes in the places where it knows that no dykes or dams have been built to restrain it. And if you consider Italy, which has been the seat of these changes, and which has given rise to them, you will see a countryside devoid of any embankments or defences. If it had been protected by proper defences, like Germany, Spain and France, the flood would not have caused such great changes or it would not have occurred at all. But I have said enough in general terms about resisting fortune. "
"Mach_176.txt.content"," Considering the matter in more detail, I would observe that one sees a ruler flourishing today and ruined tomorrow, without his having changed at all in character or qualities. I believe this is attributable, first, to the cause previously discussed at length, namely, that a ruler who trusts entirely to luck comes to grief when his luck runs out. Moreover, I believe that we are successful when our ways are suited to the times and circumstances, and unsuccessful when they are not. For one sees that, in the things that lead to the end which everyone aims at, that is, glory and riches, men proceed in different ways: one man cautiously, another impetuously; one man forcefully, another cunningly; one man patiently, another impatiently, and each of these different ways of acting can be effective. On the other hand, of two cautious men, one may achieve his aims and the other fail. Again, two men may both succeed, although they have different characters, one "
"Mach_177.txt.content","acting cautiously and the other impetuously. The reason for these different outcomes is whether their ways of acting conform with the conditions in which they operate. Consequently, as I have said, two men, acting differently, may achieve the same results; and if two men act in the same way, one may succeed and the other fail. From this, again, arise changes in prosperity; because if a man acts cautiously and patiently, and the times and circumstances change in ways for which his methods are appropriate, he will be successful. But if the times and circumstances change again, he will come to grief, because he does not change his methods. And one does not find men who are so prudent that they are capable of being sufficiently flexible: either because our natural inclinations are too strong to permit us to change, or because, having always fared well by acting in a certain way, we do not think it a good idea to change our methods. Therefore, if it is necessary for a "
"Mach_178.txt.content","cautious man to act expeditiously, he does not know how to do it; this leads to his failure. But if it were possible to change one's character to suit the times and circumstances, one would always be successful.  Pope Julius II always acted impetuously, and found the times and circumstances so suited to his ways that he was always successful. Consider the first expedition he made to Bologna, while messer Giovanni Bentivoglio was still alive. The Venetians were opposed to it, and so was the King of Spain; there were also discussions with the King of France about such an enterprise. Nevertheless, acting with his usual indomitable spirit and impetuosity, he led the expedition personally. This initiative caught the King of Spain and the Venetians off guard and constrained them to be passive spectators, the latter through fear and the former because of his desire to recover the whole of the "
"Mach_179.txt.content","Kingdom of Naples. On the other hand, Julius involved the King of France: for that King saw the Pope moving and, because he wanted to cultivate the Pope's friendship with a view to reducing the power of Venice, he decided that he could not refuse him troops without offending him very openly. With this swift initiative, then, Julius achieved what no other pope, acting with consummate prudence, could have attained. If he had not left Rome until everything had been agreed and settled, as any other pope would have done, he would never have succeeded. For the King of France would have contrived to find countless excuses, and the others would have produced countless reasons why the Pope should hesitate. I shall not discuss his other actions, which were similar in character, and all turned out well for him. The shortness of his pontificate did not permit him to taste of "
"Mach_18.txt.content","he followed any of the policies I have advocated. I shall discuss Louis, not Charles; since he held possessions in Italy for a longer period, his conduct can be better studied. You will see that he did the opposite of what should be done in order to hold territory that is acquired in a foreign country.  King Louis's invasion of ltaly was aided by the ambitious schemes of the Venetians, who wanted to gain half of Lombardy through that invasion.    I do not wish to criticise the policy adopted by the King: since he wanted to gain a foothold in Italy, and did not have any allies in this country (rather he found every gate closed to him, because of the conduct of Charles) he was forced to make whatever alliances he could. And this good policy of his would have been successful, if he had "
"Mach_180.txt.content","failure. But if circumstances had changed so that it was imperative to act cautiously, he would have been undone; for he would never have deviated from the methods that were natural to him.  I conclude, then, that since circumstances vary and men when acting lack flexibility, they are successful if their methods match the circumstances and unsuccessful if they do not. I certainly think that it is better to be impetuous than cautious, because fortune is a woman, and if you want to control her, it is necessary to treat her roughly. And it is clear that she is more inclined to yield to men who are impetuous than to those who are calculating. Since fortune is a woman, she is always well disposed towards young men, because they are less cautious and more aggressive, and treat her more boldly.  XXVI: Exhortation to liberate Italy from the barbarian yoke "
"Mach_181.txt.content"," Bearing in mind all the matters previously discussed, I ask myself whether the present time is appropriate for welcoming a new ruler in Italy, and whether there is matter that provides an opportunity for a far-seeing and able man to mould it into a form that will bring honour to him and benefit all its inhabitants. It seems to me that so many things are propitious for a new ruler that I am not aware that there has ever been a more appropriate time than this.  I have maintained that the Israelites had to be enslaved in Egypt before the ability of Moses could be displayed, the Persians had to be oppressed by the Medes before Cyrus's greatness of spirit could be revealed, and the Athenians in disarray before the magnificent qualities ofTheseus could be demonstrated. Likewise, in order for the valour and worth of an Italian spirit to be recognised, Italy had to be reduced to the desperate straits in which it now finds itself: more enslaved than the Hebrews, more oppressed than the Persians, more scattered than the Athenians, without an acknowledged leader, and without order or "
"Mach_182.txt.content","stability, beaten, despoiled, lacerated, overrun, in short, utterly devastated. And although recently a spark was revealed in one man that might have led one to think that he was ordained by God to achieve her redemption, yet it was seen that he was struck down by misfortune at the highest point of his career. Thus, remaining almost lifeless, Italy is waiting for someone to heal her wounds, and put an end to the ravaging of Lombardy, to the extortions in the Kingdom ofNaples and Tuscany, and to cure the sores that have been festering for so long. Look how Italy beseeches God to send someone to rescue her from the cruel and arrogant domination of the foreigners. Again, see how ready and willing she is to rally to a standard, if only there is someone to lead the way.  There is no one in whom Italy can now place any hope except your "
