text,speaker
" And the Middle East became totally destabilized. So I just want to say.As far as single payer, it works in Canada. It works incredibly well in Scotland. It could have worked in a different age, which is the age you're talking about here.What I'd like to see is a private system without the artificial lines around every state. I have a big company with thousands and thousands of employees. And if I'm negotiating in New York or in New Jersey or in California, I have like one bidder. Nobody can bid.You know why?Because the insurance companies are making a fortune because they have control of the politicians, of course, with the exception of the politicians on this stage.But they have total control of the politicians. They're making a fortune.Get rid of the artificial lines and you will have.",TRUMP
 - yourself great plans. And then we have to take care of the people that can't take care of themselves. And I will do that through a different system.,TRUMP
" Mr. Trump, hold up one second.",BAIER
 I've got a news flash.,PAUL
" All right, now, hold on, Senator Paul-.",BAIER
" News flash, the Republican Party's been fighting against a single-payer system-.",PAUL
 OK.,BAIER
 - for a decade. So I think you're on the wrong side of this if you're still arguing for a single-payer system.,PAUL
 I'm not - I'm not are - I don't think you heard me. You're having a hard time tonight.,TRUMP
" All right, let me.",BAIER
" Mr. Trump, it's not just your past support for single- payer health care. You've also supported a host of other liberal policies. Use - you've also donated to several Democratic candidates, Hillary Clinton included, Nancy Pelosi.You explained away those donations saying you did that to get business-related favors.And you said recently, quote, ""When you give, they do whatever the hell you want them to do.""",BAIER
 You'd better believe it.,TRUMP
 So what specifically did.UNIDENTIFIED-MALE: That's true.,BAIER
 - they do?,BAIER
" If I ask them, if I need them, you know, most of the people on this stage I've given to, just so you understand, a lot of money.UNIDENTIFIED-MALE: Not me.UNIDENTIFIED-MALE: Not me.UNIDENTIFIED-MALE: But you're welcome to give me (INAUDIBLE) Donald if you'd like.",TRUMP
" Many of them.UNIDENTIFIED-MALE: Actually, to be clear.UNIDENTIFIED-MALE: - he supported Charlie Crist.",TRUMP
" Not much.UNIDENTIFIED-MALE: Hey, Charlie.",TRUMP
 But I.,TRUMP
" - Donald, if you.(CROSSTALK) ",TRUMP
 Good.UNIDENTIFIED-MALE: OK.,TRUMP
" Sounds good. Sounds good to me, Governor.I will tell you that our system is broken. I gave to many people, before this, before two months ago, I was a businessman. I give to everybody. When they call, I give.And do you know what?When I need something from them two years later, three years later, I call them, they are there for me.UNIDENTIFIED-MALE: So what did you get?",TRUMP
 And that's a broken system.UNIDENTIFIED-MALE: What did you get from Hillary Clinton and Nancy Pelosi?,TRUMP
" Well, I'll tell you what, with Hillary Clinton, I said be at my wedding and she came to my wedding.You know why?She didn't have a choice because I gave. I gave to a foundation that, frankly, that foundation is supposed to do good. I didn't know her money would be used on private jets going all over the world. It was.But.",TRUMP
 Hold on.We're going to - we're going to move on.,BAIER
" We'll come back to you, Governor Walker.",BAIER
" Just one second on this, though.We, we spent a lot of time talking about Hillary Clinton and, and pitting us back and forth.Let's be clear, we should be talking about Hillary Clinton on that last subject, because everywhere in the world that Hillary Clinton touched is more messed up today than before she and the president (INAUDIBLE).",WALKER
 We have many questions to come.,BAIER
 It's true.,WALKER
 Many questions to come.,BAIER
" Governor Huckabee, on Facebook, John Pietricone asked this, ""Will you abolish or take away the powers and cut the size of the EPA, the IRS, the Department of Education?""Now, broadly.",BAIER
" - broadly, the size of government is a big concern for Facebook users, Facebook persons, as well as, obviously, conservatives.But year after year, decade after decade, there are promises from Republicans to shrink government. But year after year, decade after decade, it doesn't happen.In fact, it gets bigger, even under Republican politicians.So the question is, at this point, is the government simply too big for any one person, even a Republican, to shrink?",BAIER
" It's not too big to shrink. But the problem is we have a Wall Street-to-Washington access of power that has controlled the political climate. The donor class feeds the political class who does the dance that the donor class wants. And the result is federal government keeps getting bigger.Every person on this stage who has been a governor will tell that you the biggest fight they had was not the other party. Wasn't even the legislature. It was the federal government, who continually put mandates on the states that we had to suck up and pay for.And the fact is there are a lot of things happening at the federal level that are absolutely beyond the jurisdiction of the Constitution. This is power that should be shifted back to the states, whether it's the EPA, there is no role at the federal level for the Department of Education.",HUCKABEE
" And I'm still one who says that we can get rid of the Internal Revenue Service if we would pass the fair tax, which is a tax on consumption rather than a tax on people's income, and move power back where the founders believed it should have been all along.",HUCKABEE
" Dr. Carson.UNIDENTIFIED-MALE: Bret, Bret, Bret.",BAIER
" Dr. Carson, do you agree with that?",BAIER
" What I agree with is that we need a significantly changed taxation system. And the one that I've advocated is based on tithing, because I think God is a pretty fair guy.And he said, you know, if you give me a tithe, it doesn't matter how much you make. If you've had a bumper crop, you don't owe me triple tithes. And if you've had no crops at all, you don't owe me no tithes. So there must be something inherently fair about that.And that's why I've advocated a proportional tax system. You make $10 billion, you pay a billion. You make $10, you pay one. And everybody gets treated the same way. And you get rid of the deductions, you get rid of all the loopholes, and.",CARSON
 Governor Bush?,BAIER
 And I have a lot more to say about it.,CARSON
" We're going to come back to you, Dr. Carson.Governor Bush, you are one of the few people on the stage who advocates for Common Core education standards, reading and math. A lot of people on this stage vigorously oppose federal involvement in education. They say it should all be handled locally.President Obama's secretary of education, Arnie Duncan, has said that most of the criticism of Common Core is due to a, quote, ""fringe group of critics."" Do you think that's accurate?",BAIER
" No, I don't. And I don't believe the federal government should be involved in the creation of standards directly or indirectly, the creation of curriculum or content. It is clearly a state responsibility.I'm for higher standards.",BUSH
" - measured in an intellectually honest way, with abundant school choice, ending social promotion. And I know how to do this because as governor of the state of Florida I created the first statewide voucher program in the country, the second statewide voucher program, in the country and the third statewide voucher program in the country.And we had rising student achievement across the board, because high standards, robust accountability, ending social promotion in third grade, real school choice across the board, challenging the teachers union and beating them is the way to go.And Florida's low income kids had the greatest gains inside the country. Our graduation rate improved by 50 percent. That's what I'm for.",BUSH
" Senator Rubio, why is Governor Bush wrong on Common Core?",BAIER
" Well, first off, I too believe in curriculum reform. It is critically important in the 21st Century. We do need curriculum reform. And it should happen at the state and local level. That is where educational policy belongs, because if a parent is unhappy with what their child is being taught in school, they can go to that local school board or their state legislature, or their governor and get it changed.Here's the problem with Common Core. The Department of Education, like every federal agency, will never be satisfied. They will not stop with it being a suggestion. They will turn it into a mandate.In fact, what they will begin to say to local communities is, you will not get federal money unless do you things the way we want you to do it. And they will use Common Core or any other requirements that exists nationally to force it down the throats of our people in our states.",RUBIO
 And do you agree with your old friend?,BAIER
" He is definitely my friend. And I think the states ought to create these standards. And if states want to opt out of Common Core, fine. Just make sure your standards are high.Because today in America, a third of our kids, after we spend more per student than any country in the world other than a couple rounding errors, to be honest with you, 30 percent are college- and/or career-ready.",BUSH
" If we are going to compete in this world we're in today, there is no possible way we can do it with lowering expectations and dumbing down everything. Children are going to suffer and families' hearts are going to be broken that their kids won't be able to get a job in the 21st Century.",BUSH
" We have many more questions coming on a host of topics, here from Quicken Loans Arena in Cleveland. Stay with us.UNIDENTIFIED-MALE: What would make stand out as the best choice for the Republican nomination?UNIDENTIFIED-MALE: How do you intend to go about student loan reform?UNIDENTIFIED-FEMALE: What will be the first thing you will do to stimulate economic growth in our country and bring more jobs to the United States?",BAIER
" We have many more questions coming on a host of topics. Here from Quicken Loans Arena in Cleveland. Stay with us.UNIDENTIFIED-MALE: What would make you stand out as the best choice for the Republican nomination?UNIDENTIFIED-MALE: How do you intend to go about student loan reform?UNIDENTIFIED-FEMALE: What will be the first thing you will do to stimulate economic growth in our country and bring more jobs to the United States?(COMMERCIAL BREAK) KELLY: It's just before 10:00 p.m. on the East Coast. Welcome back to Quicken Loans Arena in Cleveland, Ohio, and the very first Republican primary debate of the 2016 presidential campaign. Ten candidates on the stage, selected based on their standing in five national polls. And tonight they are facing off, answering the questions you want asked. We hope.",BAIER
" Gentlemen, we're obviously digging into some subjects in depth, but we're also going to change it up every once in a while throughout the next hour and have many rounds where we ask, you are not going to like it, only a couple of candidates questions on those subjects. This is the first of the many rounds, and it's about somebody whose name probably hasn't been mentioned enough so far tonight.Governor Kasich, let me start with you. Whoever the Republican nominee —",WALLACE
" Whoever the Republican nominee is, it looks at least for now like whoever that nominee is, he or she, will be facing off against Hillary Clinton. You know how she will come after whoever the Republican nominee is. She will say that you, whoever it is, support the rich while she supports the middle class. That you want to suppress the rights of women and minorities. She wants to move the country forward while you, the Republicans, want to take the country back to the past.How will you, if you're the nominee, how will you answer that and take Hillary Clinton on?",WALLACE
" Let's start off with my father being a mailman. So I understand the concerns of all the folks across this country, some of whom having trouble, you know, making ends meet. But I think she will come in a narrow way. The nominee of this party, if they're going to win, has got to come at it in a big way, which is pro-growth. Which is balancing budgets. You know, we were talking about it. People were saying, could we do it? I was the chairman of the Budget Committee and the lead architect the last time it happened in Washington, and when we did it we had great economic growth, we cut taxes, and we had a big surplus.Economic growth is the key. Economic growth is the key to everything. But once you have economic growth, it is important that we reach out to people who live in the shadows, the people who don't seem to ever think that they get a fair deal. And that includes people in our minority community; that includes people who feel as though they don't have a chance to move up.You know, America is a miracle country. And we have to restore the sense that the Amiracle (ph) will apply to you. Each and every one of the people in this country who's watching tonight, lift everybody, unite everybody and build a stronger United States of America again. It will be and can be done.",KASICH
" I know that all of you would like to answer this question, but we're only going to ask one other candidate before we move on to a different subject, Dr. Carson.Basically, same question to you. If Hillary Clinton is the nominee and she comes at you with that kind of line of attack, how will you take Iraq?",WALLACE
" If Hillary is the candidate, which I doubt, that would be a dream come true.But you know, the fact of the matter is, she is the epitome of the progressive - the secular progressive movement. And she counts on the fact that people are uninformed, the Alinsky Model, taking advantage of useful idiots.Well, I just happen to believe that people are not stupid.(APPLAUSE) And the way I will come at it is to educate people, help people to actually understand that it is that progressive movement that is causing them the problems.You know, you look at the - the national debt and how it's being driven up. If I was trying to destroy this country, what I would do is find a way to drive wedges between all the people, drive the debt to an unsustainable level, and then step off the stage as a world leader and let our enemies increase while we decreased our capacity as a military person. And that's what she's doing.",CARSON
" Gentlemen, we're going to turn now to the subject of the economy, jobs and money and the government. And Governor Bush, I'm going to start with you.You have made a bold promise in your announcement. You have promised four percent economic growth and 19 million new jobs if you are fortunate enough to serve two terms as president.That many jobs, 19 million, would be triple what your father and your brother accomplished together. And four percent growth, the last president to average that was Lyndon Johnson during the height of the Vietnam War. So question, how on Earth specifically would you pull that off?",WALLACE
" We've done it 27 times since World War II. I think we need to lift our spirits and have high, lofty expectations for this great country of ours.The new normal of two percent that the left is saying you can't do anything about is so dangerous for our country. There's 6 million people living in poverty today, more than when Barack Obama got elected. 6.5 million people are working part-time, most of whom want to work full-time. We've created rules and taxes on top of every aspiration of people, and the net result is we're not growing fast, income is not growing. A four percent growth strategy means you fix a convoluted tax code. You get in and you change every aspect of regulations that are job killers. You get rid of Obamacare and replace it with something that doesn't suppress wages and kill jobs.You embrace the energy revolution in our country. This president and Hillary Clinton, who can't even say she's for the X.L. pipeline even after she's left? Give me a break. Of course we're for it. We should be for these things to create high sustained economic growth. And frankly, fixing our immigration system and turning it into an economic driver is part of this as well. We can do this.",BUSH
" Governor Walker.(APPLAUSE) Governor Walker, when you ran for governor of Wisconsin back in 2010, you promised that you would create 250,000 jobs in your first term, first four years. In fact, Wisconsin added barely half that and ranked 35th in the country in job growth. Now you're running for president, and you're promising an economic plan in which everyone will earn a piece of the American dream.Given your record in Wisconsin, why should voters believe you?",WALLACE
" Well, the voters in Wisconsin elected me last year for the third time because they wanted someone who aimed high, not aimed low.Before I came in, the unemployment rate was over eight percent. It's now down to 4.6 percent. We've more than made up for the jobs that were lost during the recession. And the rate in which people are working is almost five points higher than it is nationally.You know, people like Hillary Clinton think you grow the economy by growing Washington. One report last year showed that six of the top 10 wealthiest counties in America were in or around Washington, D.C.. I think most of us in America understand that people, not the government creates jobs. And one of the best things we can do is get the government out of the way, repeal Obamacare, put in - reign in all the out of control regulations, put in place and all of the above energy policy, give people the education, the skills that the need to succeed, and lower the tax rate and reform the tax code. That's what I'll do as president, just like I did in Wisconsin.",WALKER
" Governor Christie, I want to engage you and Governor Huckabee in a subject that is a big issue in both of your campaigns, and that is entitlement reform.You say that you - to save the system that you want to raise the retirement age - have to raise the retirement age, and to cut benefits for Social Security and Medicare, and you say that some of the candidates here on the stage are lying.Governor Huckabee says he can save Social Security and Medicare without doing any of that. Is he lying?",WALLACE
" No, he's not lying, he's just wrong.I mean, so, there's a difference - I'm the only guy on this stage who's put out a detailed, 12 point plan on entitlement reform and here's why - because 71% of federal spending right now is on entitlements, and debt service, 71%. And we have spent the last hour and five minutes talking about the other 29%, and no time on the 71%, and that makes no sense.Now, let me tell you exactly what we would do on Social Security. Yes, we'd raise the retirement age two years, and phase it in over 25 years, that means we'd raise it one month a year for 25 years when we're all living longer, and living better lives.Secondly, we would needs (ph) test Social Security for those who are making over $200,000 dollars a year in retirement income, and have $4 to $5 million dollars in liquid assets saved. They don't need that Social Security check. Social Security is meant to be - to make sure that no one who's worked hard, and played by the rules, and paid into the system grows old in poverty in America.If we don't deal with this problem, it will bankrupt our country, or lead to massive tax increases, neither one that we want in this country.",CHRISTIE
" Governor Huckabee?You say that changing entitlements, the kind of thing that Governor Christie is talking about, would be breaking a promise to the American people, and you say that you can keep those programs, save Social Security, save Medicare, without those kinds of reforms through a Fair (ph) tax, which is a broad tax on consumption. Please explain to Governor Christie how that would work, and how you could save these programs without the kind of painful reforms he says we need?",WALLACE
" Well, lets all be reminded, 60 million Americans are on Social Security, 60 million. A third of those people depend on 90% of their income from Social Security. Nobody in this country is on Social Security because they made the decision when they were starting work at 14 that they wanted to trust some of their money with the government.The government took it out of their check whether they wanted them to or not. And, if person goes to 65, they're going to spend 51 years with the government reaching into their pocket at every paycheck.Now, here's the point, whose fault is it that the system is screwed up? Is it the recipients, or is it the government? And, if Congress wants to mess with the retirement program, why don't we let them start by changing their retirement program, and not have one, instead of talking about getting rid of Social Security and Medicare that was robbed $700 billion dollars to pay for Obamacare.It's always that the government figures that they can do this off the backs of people, many of whom are poor, and depend on that money, and I just think it's fundamentally lying to people and stealing from them, and we shouldn't be doing it.",HUCKABEE
 Chris.,CHRISTIE
 -Thirty seconds.,WALLACE
" Yeah, sure. And, I don't disagree with ending Congress' retirement program. I'm a governor, I don't have a retirement program in my state, and I don't disagree with that. But, here's the news to the American people, he's complaining about the lying and stealing. The lying and stealing has already occurred. The trust fund is filled with IOU's. We can't fix the problem just by ending (ph) Congress' retirement, that's worth about, ""this"" much.We need to go at the fundamental problem, and the fundamental problem is that this system is broken. It has been stolen from. We have been lied to, and we need a strong leader to tell the truth and fix.",CHRISTIE
" -Alright, this is it. Thirty Seconds, finally.",WALLACE
" Well, you ask about how we fund it. One of the reasons that Social Security is in so much trouble is that the only funding stream comes from people who get a wage. The people who get wages is declining dramatically. Most of the income in this country is made by people at the top who get dividends and - and capital gains.",HUCKABEE
" The fair (ph) transforms the process by which we fund Social Security and Medicare because the money paid in consumption is paid by everybody, including illegals, prostitutes, pimps, drug dealers, all the people that are freeloading off the system now.That's why it ought to be a transformed system.",HUCKABEE
 All right. Enough.,WALLACE
 Mr. Trump.,WALLACE
 (OFF MIKE) Sounds like somebody's a little R-rated.,KELLY
" Mr. Trump, you talk a lot about how you are the person on this stage to grow the economy. I want to ask you about your business record. Trump corporations - Trump corporations, casinos and hotels, have declared bankruptcy four times over the last quarter-century.In 2011, you told Forbes Magazine this: ""I've used the laws of the country to my advantage."" But at the same time, financial experts involved in those bankruptcies say that lenders to your companies lost billions of dollars.Question sir, with that record, why should we trust you to run the nation's business?",WALLACE
" Because I have used the laws of this country just like the greatest people that you read about every day in business have used the laws of this country, the chapter laws, to do a great job for my company, for myself, for my employees, for my family, et cetera.I have never gone bankrupt, by the way. I have never.But out of hundreds of deals.",TRUMP
" No, but the concept sir.",WALLACE
 Excuse me. Excuse me.,TRUMP
" - that's your line, but your companies have gone bankrupt.",WALLACE
" Excuse me, what am I saying? Out of hundreds of deals that I've done, hundreds, on four occasions I've taken advantage of the laws of this country, like other people. I'm not going to name their names because I'm not going to embarrass, but virtually every person that you read about on the front page of the business sections, they've used the law.The difference is, when somebody else uses those laws, nobody writes about it. When I use it, they say, ""Trump, Trump, Trump."" The fact is, I built a net worth of more than $10 billion. I have a great, great company. I employ thousands of people. And I'm very proud of the job I did.Again Chris, hundreds and hundreds of deals. Four times, I've taken advantage of the laws. And frankly, so has everybody else in my position.",TRUMP
" Well sir, let's just talk about the latest example.- which is Trump Entertainment Resorts, which went bankrupt in 2009. In that case alone, lenders to your company lost over $1 billion and more than 1,100 people were laid off.",WALLACE
" Well, I.",TRUMP
 Is that the way that you'd run the country?,WALLACE
" Let me just tell you about the lenders. First of all, these lenders aren't babies. These are total killers. These are not the nice, sweet little people that you think, OK?You know, I mean you're living in a world of the make-believe, Chris, you want to know the truth.And I had the good sense to leave Atlantic City, which by the way, Caesars just went bankrupt. Every company, Chris can tell you, every company virtually in Atlantic City went bankrupt.Every company.And let me just tell you. I had the good sense, and I've gotten a lot of credit in the financial pages, seven years ago I left Atlantic City before it totally cratered, and I made a lot of money in Atlantic City, and I'm very proud of it. I want to tell you that. Very, very proud of it.",TRUMP
 So.,WALLACE
" And by the way, this country right now owes $19 trillion. And they need somebody like me to straighten out that mess.",TRUMP
" Senator Rubio.Senator Rubio, more than 3,000 people sent us questions about the economy and jobs on Facebook. And here is a video question from Tania Cioloko from Philadelphia. Here she is.",WALLACE
 Please describe one action you would do to make the economic environment more favorable for small businesses and entrepreneurs and anyone dreaming of opening their own business.,QUESTION
 That's a great question.,RUBIO
" Senator, how do you answer Tania?",WALLACE
" That's a great question.First of all, it begins by having leaders that recognize that the economy we live in today is dramatically different from the one we had five years ago. It's an economy that now has placed us in global competition with dozens of other countries around the world.Now, the big companies that have connections with Washington, they can affect policies to help them, but the small companies like the one Tania is talking about, they're the ones that are struggling.The first thing we need to do is we need to even out the tax code for small businesses so that we lower their tax rate to 25 percent, just as we need to lower it for all businesses.We need to have a regulatory budget in America that limits the amount of regulations on our economy. We need to repeal and replace Obamacare and we need to improve higher education so that people can have access to the skills they need for 21st century jobs.And last but not least, we need to repeal Dodd-Frank. It is eviscerating small businesses and small banks.20 - over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out over the - since Dodd-Frank has passed. We need to repeal and replace Dodd-Frank. We need to make America fair again for all businesses, but especially those being run by small business owners.",RUBIO
" Senator Rubio, thank you.",WALLACE
" Gentlemen, another question for a few of you.Yesterday, just yesterday, President Obama criticized Republican lawmakers trying to block the Iran deal, calling them knee-jerk partisans, adding that hardliners in Iran who chant ""death to America"" were quote, ""making common cause with the Republican caucus.""Here's what two of your opponents on the five p.m. debate stage said about Iran.",BAIER
" I will tell you one thing. I would've a whole lot rather had Carly Fiorina over there doing our negotiation than John Kerry. Maybe we would've gotten a deal where we didn't give everything away.But the issue for us is to have a Congress that stands up and says not only no, but hell no, to this money going to a regime that is going to use it for terror.",PERRY
" When America does not lead, the world is a dangerous and a tragic place. This is a bad deal. Obama broke every rule of negotiation.Yes, our allies are not perfect, but Iran is at the heart of most of the evil that is going on in the Middle East through their proxy.",FIORINA
" Now, I wanna ask a few of you this. First, Governor Walker.You've said that you would tear up the Iran deal on day one. If this deal is undone, what then?",BAIER
" Well, first off, let's remember. I still remember, as a kid, tying a yellow ribbon around a tree in front of my house during the 444 days that Iran held 52 Americans hostage. Iran is not a place we should be doing business with.To me, you terminate the deal on day one, you reinstate the sanctions authorized by Congress, you go to Congress and put in place even more crippling sanctions in place, and then you convince our allies to do the same.This is not just bad with Iran, this is bad with ISIS. It is tied together, and, once and for all, we need a leader who's gonna stand up and do something about it.It's yet another example of the failed foreign policy of the Obama-Clinton doctrine.",WALKER
" Senator Paul, would you tear up the deal on day one?",BAIER
" I oppose the Iranian deal, and will vote against it. I don't think that the president negotiated from a position of strength, but I don't immediately discount negotiations.I'm a Reagan conservative. Reagan did negotiate with the Soviets. But you have to negotiate from a position of strength, and I think President Obama gave away too much, too early.If there's going to be a negotiation, you're going to have to believe somehow that the Iranians are going to comply. I asked this question to John Kerry, I said ""do you believe they're trustworthy?"" and he said ""No.""And I said, ""well, how are we gonna get them to comply?"" I would have never released the sanctions before there was consistent evidence of compliance.",PAUL
" Governor Huckabee, what do you think about what Senator Paul just said?",BAIER
" Ronald Reagan said ""trust, but verify."" President Obama is ""trust, but vilify."" He trusts our enemies and vilifies everyone who disagrees with him.And the reason we disagree with him has nothing ot do with party.",HUCKABEE
" It has to do with the incredibly dangerous place that this world is gonna be as a result of a deal in which we got nothing.We didn't even get four hostages out. We got nothing, and Iran gets everything they want.We said we would have anywhere, anytime negotiations and inspections, we gave that up. We said that we would make sure that they didn't have any nuclear capacity, we gave that up.The president can't tell you what we got. I'll tell you what the world got. The world has a burgeoning nuclear power that didn't, as the Soviets, say ""we might defend ourselves in a war.""What the Iranians have said is, ""we will wipe Israel off the face of the map, and we will bring death to America."" When someone points a gun at your head and loads it, by God, you ought to take them seriously, and we need to take that seriously.",HUCKABEE
" Thank you, gentlemen.",BAIER
" Well, the first debate night of the 2016 presidential campaign continues from Cleveland after a short time-out. Stick around. Social issues, next.",KELLY
" Senator Rubio, you favor a rape and incest exception to abortion bans. Cardinal Timothy Dolan of New York just said yesterday those exceptions are preposterous. He said they discriminate against an entire class of human beings. If you believe that life begins at conception, as you say you do, how do you justify ending a life just because it begins violently, through no fault of the baby?",KELLY
" Well, Megyn, first of all, I'm not sure that that's a correct assessment of my record. I would go on to add that I believe all.",RUBIO
 You don't favor a rape and incest exception?,KELLY
" I have never said that. And I have never advocated that. What I have advocated is that we pass law in this country that says all human life at every stage of its development is worthy of protection.In fact, I think that law already exists. It is called the Constitution of the United States.",RUBIO
" And let me go further. I believe that every single human being is entitled to the protection of our laws, whether they can vote or not. Whether they can speak or not. Whether they can hire a lawyer or not. Whether they have a birth certificate or not. And I think future generations will look back at this history of our country and call us barbarians for murdering millions of babies who we never gave them a chance to live.",RUBIO
" Mr. Trump, in 1999, you said you were, quote, ""very pro- choice."" Even supporting partial-birth abortion. You favored an assault weapons ban as well. In 2004, you said in most cases you identified as a Democrat. Even in this campaign, your critics say you often sound more like a Democrat than a Republican, calling several of your opponents on the stage things like clowns and puppets. When did you actually become a Republican?",KELLY
" I don't think they like me very much. I'll tell you what. I've evolved on many issues over the years. And you know who else has? Is Ronald Reagan evolved on many issues.And I am pro-life. And if you look at the question, I was in business. They asked me a question as to pro-life or choice. And I said if you let it run, that I hate the concept of abortion. I hate the concept of abortion. And then since then, I've very much evolved.And what happened is friends of mine years ago were going to have a child, and it was going to be aborted. And it wasn't aborted. And that child today is a total superstar, a great, great child. And I saw that. And I saw other instances.And I am very, very proud to say that I am pro-life.As far as being a Republican is concerned, I come from a place, New York City, which is virtually, I mean, it is almost exclusively Democrat. And I have really started to see some of the negatives - as an example, and I have a lot of liking for this man, but the last number of months of his brother's administration were a catastrophe. And unfortunately, those few months gave us President Obama. And you can't be happy about that.",TRUMP
" Governor Bush, I want to ask you, on the subject of name calling of your fellow candidates, a story appeared today quoting an anonymous GOP donor who said you called Mr. Trump a clown, a buffoon, something else that cannot be repeated on television.",KELLY
 None of which is true.,BUSH
 Is it true?,KELLY
" No. It's not true. But I have said that Mr. Trump's language is divisive.I want to win. I want one of these people here or the ones at 5:00, to be the next president of the United States.We're not going on win by doing what Barack Obama and Hillary Clinton do each and every day. Dividing the country. Saying, creating a grievance kind of environment. We're going to win when we unite people with a hopeful, optimistic message. I have that message because I was a governor of a state that saw people lifted up, because we had high sustained economic growth. Our economy grew at double the rate of the nation. We created 1.3 million jobs. We led the nation seven out of those eight years. We were only one of two states that went to AAA bond rating. I cut taxes, $19 billion. If you do that and apply conservative principles the right way, you create an environment where everybody rises up. That's how we're going to win. Campaigning in places to give people hope that their life is better because too many people are suffering today in America.",BUSH
" Mr. Trump, 30 seconds.",KELLY
" First of all, Jeb, I am very happy that you denied that, and I appreciate that very much. He is a true gentleman. He really is.One thing he did say, and I mean that. The one thing he did say about me, however, was my tone. And I also understand that. But when you have people that are cutting Christians' heads off, when you have a world that the border and at so many places, that it is medieval times, we've never - it almost has to be as bad as it ever was in terms of the violence and the horror, we don't have time for tone. We have to go out and get the job done.",TRUMP
" The subject of gay marriage and religious liberty. Governor Kasich, if you had a son or daughter who was gay or lesbian, how would you explain to them your opposition to same-sex marriage?",KELLY
" Well, look, I'm an old-fashioned person here, and I happen to believe in traditional marriage. But I've also said the court has ruled .",KASICH
 How would you - how would you explain it to a child?,KELLY
" Wait, Megyn, the court has ruled, and I said we'll accept it. And guess what, I just went to a wedding of a friend of mine who happens to be gay. Because somebody doesn't think the way I do, doesn't mean that I can't care about them or can't love them. So if one of my daughters happened to be that, of course I would love them and I would accept them. Because you know what?",KASICH
 That's what we're taught when we have strong faith.,KASICH
" So the issues like that, issues like that are planted to divide us. I think the simple fact of the matter is, and this is where I would agree with Jeb, and I've been saying it all along, we need to give everybody a chance, treat everybody with respect, and let them share in this great American dream that we have, Megan. So, look, I'm going to love my daughters, I'm going to love them no matter what they do. Because, you know what, God gives me unconditional love. I'm going to give it to my family and my friends and the people around me.",KASICH
" Senator Paul, in the wake of the Supreme Court's ruling on same sex marriage, Carol Fox on Facebook want to know the following. Quote, what will you do to ensure Christians are not prosecuted for speaking out against gay marriage and will Christians be forced to conduct business that conflicts with their religious beliefs?",MEGAN
" Look, I don't want my marriage or my guns registered in Washington. And if people have an opinion, it's a religious opinion that is heartly felt, obviously they should be allowed to practice that and no government should interfere with them. One of the things, one of the things that really got to me was the thing in Houston where you had the government, the mayor actually, trying to get the sermons of ministers. When the government tries to invade the church to enforce its own opinion on marriage, that's when it's time to resist.",PAUL
" Governor Walker, many in the Black Live Matter movement, and beyond, believe that overly-aggressive police officers targeting young African Americans is the civil rights issue of our time. Do you agree? And if so, how do you plan to address it? And if not, why not?",MEGAN
" Well, what we have to stop and think about is that we have weakened ourselves militarily to such an extent that if affects all of our military policies. Our Navy is at its smallest size since 1917; our Air Force, since 1940. In recent testimony, the commandant of the Marine Corps said half of the non-deployed units were not ready and you know, the sequester is cutting the heart out of our personnel. Our generals are retiring because they don't want to be part of this, and at the same time, our enemies are increasing.Our - our friends can't trust us anymore. You know, Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them. We won't even give them offensive weapons.You know, we turned our back on Israel, our ally. You know, and a situation like that, of course Obama's not going to be able to do anything. I would shore up our military first, because if you don't get the military right, nothing else is going to work.",CARSON
" Governor Walker, as president, what would you do if Russian President Vladimir Putin started a campaign to destabilize NATO allies Estonia, Latvia, Lithuania, mirroring the actions Putin took at the early days of Ukraine?",BAIER
" Well first off, for the cyber attack with Russia the other day, it's sad to think right now, but probably the Russian and Chinese government know more about Hillary Clinton's e-mail server than do the members of the United States Congress.And - and that has put our national security at risk. If I am president, he won't think about that. You know, Putin believes in the old Lenin adage: you probe with bayonets. When you find mush, you push. When you find steel, you stop.Under Obama and Clinton, we found a lot of mush over the last two years. We need to have a national security that puts steel in front of our enemies. I would send weapons to Ukraine. I would work with NATO to put forces on the eastern border of Poland and the Baltic nations, and I would reinstate, put in place back in the missile defense system that we had in Poland and in the Czech Republic. We define (ph) steel.",WALKER
" Governor - Governor Huckabee, the culture of the American military is definitely changing. Women are moving into combat roles. Don't Ask, Don't Tell has obviously been dropped. And now Defense Secretary Ashton Carter recently directed the military to prepare for a moment when it is welcoming transgender persons to serve openly.As commander in chief, how would you handle that?",BAIER
" The military is not a social experiment. The purpose of the military is kill people and break things.It's not to transform the culture by trying out some ideas that some people think would make us a different country and more diverse. The purpose is to protect America. I'm not sure how paying for transgender surgery for soldiers, sailors, airmen, marines makes our country safer.We've reduced the military by 25 percent.- under President Obama. The disaster is that we've forgotten why we have a military. The purpose of it is to make sure that we protect every American, wherever that American is, and if an American is calling out for help, whether it's in Benghazi or at the border, then we ought to be able to answer it.We've not done that because we've decimated our military. We're flying B-52s. The most recent one that was put in service was November of 1962. A lot of the B-52s we're flying, we've only got 44 that are in service combat ready, and the fact is, most of them are older than me. And that's pretty scary.",HUCKABEE
