"Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
2005,10,8,6,2126,2136,549,555,"DL",2017,"N698DL",323,319,297,-6,-10,"SFO","JFK",2586,10,16,0,"",0,0,0,0,0,0
2005,5,11,3,1709,1715,2225,2234,"AA",566,"N546AA",196,199,177,-9,-6,"SFO","DFW",1464,5,14,0,"",0,0,0,0,0,0
2008,4,22,2,746,750,927,910,"AA",1929,"N534AA",101,80,53,17,-4,"SFO","LAX",337,14,34,0,"",0,0,0,17,0,0
2008,4,27,7,1343,1345,1506,1506,"OO",5550,"N292UX",83,81,58,0,-2,"SFO","SBA",262,3,22,0,"",0,NA,NA,NA,NA,NA
2005,9,11,7,2028,2030,2137,2138,"UA",571,"N456UA",69,68,49,-1,-2,"SFO","BUR",326,4,16,0,"",0,0,0,0,0,0
2008,11,19,3,604,610,858,903,"OO",4484,"N816SK",114,113,84,-5,-6,"SFO","SLC",599,8,22,0,"",0,NA,NA,NA,NA,NA
2006,11,2,4,NA,1845,NA,1942,"OO",6340,"0",NA,57,NA,NA,NA,"SFO","RNO",192,0,0,1,"C",0,0,0,0,0,0
2006,5,16,2,1813,1820,1943,1942,"UA",1171,"N347UA",90,82,61,1,-7,"SFO","LAX",337,9,20,0,"",0,0,0,0,0,0
2008,1,1,2,1659,1701,1739,1743,"OO",5492,"N218SW",40,42,22,-4,-2,"SFO","MRY",77,4,14,0,"",0,NA,NA,NA,NA,NA
2008,1,14,1,1243,1250,1353,1355,"OO",5482,"N226SW",70,65,48,-2,-7,"SFO","RDD",199,6,16,0,"",0,NA,NA,NA,NA,NA
2006,3,11,6,2157,2155,514,518,"DL",1478,"N628DL",257,263,232,-4,2,"SFO","ATL",2139,8,17,0,"",0,0,0,0,0,0
2005,7,25,1,616,620,1228,1232,"UA",160,"N670UA",252,252,231,-4,-4,"SFO","ORD",1846,8,13,0,"",0,0,0,0,0,0
2005,4,11,1,2248,2245,2338,2340,"OO",6196,"N565SW",50,55,36,-2,3,"SFO","CIC",153,3,11,0,"",0,0,0,0,0,0
2006,10,5,4,754,800,908,917,"OO",6181,"N236SW",74,77,53,-9,-6,"SFO","ACV",250,6,15,0,"",0,0,0,0,0,0
2006,9,16,6,658,700,1453,1523,"CO",349,"N19141",295,323,271,-30,-2,"SFO","EWR",2565,11,13,0,"",0,0,0,0,0,0
2007,12,1,6,1338,1320,2056,2055,"DL",650,"N709TW",258,275,231,1,18,"SFO","ATL",2139,13,14,0,"",0,0,0,0,0,0
2005,8,28,7,1225,1226,1326,1339,"OO",6421,"N915SW",61,73,46,-13,-1,"SFO","MFR",329,5,10,0,"",0,0,0,0,0,0
2007,2,5,1,723,714,844,833,"OO",6193,"N289YV",81,79,58,11,9,"SFO","BFL",238,3,20,0,"",0,0,0,0,0,0
2008,10,7,2,1329,1335,1414,1424,"OO",5525,"N226SW",45,49,18,-10,-6,"SFO","SMF",86,1,26,0,"",0,NA,NA,NA,NA,NA
2007,9,19,3,1300,1250,1433,1424,"OO",5654,"N288SW",93,94,67,9,10,"SFO","MFR",329,3,23,0,"",0,0,0,0,0,0
2006,9,8,5,NA,2014,NA,2142,"OO",6250,"0",NA,88,NA,NA,NA,"SFO","MFR",329,0,0,1,"A",0,0,0,0,0,0
2006,6,20,2,752,754,1548,1554,"UA",950,"N107UA",296,300,265,-6,-2,"SFO","IAD",2419,8,23,0,"",0,0,0,0,0,0
2005,10,2,7,1659,1700,1900,1857,"UA",417,"N303UA",121,117,96,3,-1,"SFO","SEA",679,4,21,0,"",0,0,0,0,0,0
2006,6,8,4,1648,1637,1737,1729,"OO",6340,"N706SK",49,52,32,8,11,"SFO","RNO",192,6,11,0,"",0,0,0,0,0,0
2008,2,13,3,636,629,713,708,"OO",5560,"N290SW",37,39,20,5,7,"SFO","MRY",77,4,13,0,"",0,NA,NA,NA,NA,NA
2007,9,13,4,716,720,1451,1510,"US",1533,"N173US",275,290,257,-19,-4,"SFO","CLT",2296,6,12,0,"",0,0,0,0,0,0
2008,9,10,3,NA,1245,NA,1357,"OO",6332,"N418SW",NA,72,NA,NA,NA,"SFO","SBA",262,NA,NA,1,"A",0,NA,NA,NA,NA,NA
2007,10,28,7,1237,1200,1357,1330,"AA",1923,"N507AA",80,90,61,27,37,"SFO","LAX",337,10,9,0,"",0,0,0,0,0,27
2005,4,13,3,1337,1340,1447,1454,"OO",6246,"N232SW",70,74,61,-7,-3,"SFO","SBA",262,2,7,0,"",0,0,0,0,0,0
2006,6,13,2,848,850,1045,1109,"UA",53,"N671UA",297,319,279,-24,-2,"SFO","KOA",2367,3,15,0,"",0,0,0,0,0,0
2008,8,26,2,1006,1012,1056,1115,"UA",748,"N412UA",50,63,34,-19,-6,"SFO","RNO",192,5,11,0,"",0,NA,NA,NA,NA,NA
2006,12,16,6,1228,1230,1357,1405,"OO",6258,"N581SW",89,95,66,-8,-2,"SFO","MFR",329,8,15,0,"",0,0,0,0,0,0
2007,2,8,4,1157,1150,2010,2000,"AA",442,"N353AA",313,310,284,10,7,"SFO","MIA",2585,7,22,0,"",0,0,0,0,0,0
2005,12,22,4,NA,1725,NA,1838,"OO",6223,"0",NA,73,NA,NA,NA,"SFO","SBA",262,0,0,1,"C",0,0,0,0,0,0
2007,1,12,5,NA,1815,NA,2135,"OO",5998,"0",NA,140,NA,NA,NA,"SFO","ASE",848,0,0,1,"B",0,0,0,0,0,0
2007,6,14,4,612,615,747,742,"UA",303,"N373UA",95,87,69,5,-3,"SFO","SAN",447,8,18,0,"",0,0,0,0,0,0
2008,2,18,1,724,730,853,855,"MQ",3165,"N841AE",89,85,71,-2,-6,"SFO","SNA",372,5,13,0,"",0,NA,NA,NA,NA,NA
2007,2,18,7,1239,1239,1341,1358,"OO",6188,"N237SW",62,79,49,-17,0,"SFO","BFL",238,3,10,0,"",0,0,0,0,0,0
2008,3,24,1,NA,2145,NA,2303,"OO",6387,"N943SW",NA,78,NA,NA,NA,"SFO","PSP",421,NA,NA,1,"A",0,NA,NA,NA,NA,NA
2005,10,31,1,2223,2225,642,640,"UA",70,"N583UA",319,315,279,2,-2,"SFO","EWR",2565,9,31,0,"",0,0,0,0,0,0
2008,9,7,7,1039,1038,1115,1121,"OO",6679,"N939SW",36,43,19,-6,1,"SFO","SMF",86,3,14,0,"",0,NA,NA,NA,NA,NA
2008,8,8,5,852,900,1020,1016,"UA",299,"N330UA",88,76,55,4,-8,"SFO","BUR",326,2,31,0,"",0,NA,NA,NA,NA,NA
2006,10,18,3,1055,1055,1217,1223,"UA",858,"N846UA",82,88,54,-6,0,"SFO","LAX",337,6,22,0,"",0,0,0,0,0,0
2007,9,6,4,607,614,1207,1225,"UA",132,"N667UA",240,251,214,-18,-7,"SFO","ORD",1846,7,19,0,"",0,0,0,0,0,0
2008,7,30,3,1641,1638,1901,1901,"UA",77,"N672UA",320,323,299,0,3,"SFO","HNL",2398,3,18,0,"",0,NA,NA,NA,NA,NA
2007,7,26,4,2335,2330,708,646,"DL",1860,"N642DL",273,256,254,22,5,"SFO","CVG",2036,7,12,0,"",0,0,0,22,0,0
2008,4,3,4,1335,1340,1700,1714,"OO",6378,"N708SK",145,154,123,-14,-5,"SFO","COS",963,7,15,0,"",0,NA,NA,NA,NA,NA
2005,9,18,7,1808,1810,2144,2138,"OO",6390,"N912SW",156,148,117,6,-2,"SFO","COS",963,11,28,0,"",0,0,0,0,0,0
2006,9,26,2,930,910,1137,1132,"UA",41,"N596UA",307,322,286,5,20,"SFO","LIH",2447,4,17,0,"",0,0,0,0,0,0
2005,8,12,5,1042,1045,1647,1653,"UA",906,"N544UA",245,248,208,-6,-3,"SFO","ORD",1846,5,32,0,"",0,0,0,0,0,0
2006,10,10,2,601,610,722,730,"F9",1920,"N805FR",81,80,54,-8,-9,"SFO","LAX",337,17,10,0,"",0,0,0,0,0,0
2006,3,12,7,1211,1210,1819,1831,"AA",1554,"N594AA",248,261,232,-12,1,"SFO","ORD",1846,6,10,0,"",0,0,0,0,0,0
2005,12,9,5,2216,2210,2316,2310,"OO",6227,"N233SW",60,60,46,6,6,"SFO","SBP",191,3,11,0,"",0,0,0,0,0,0
2006,10,10,2,2045,2020,2148,2131,"UA",571,"N934UA",63,71,49,17,25,"SFO","BUR",326,3,11,0,"",0,17,0,0,0,0
2007,6,20,3,915,800,1733,1637,"UA",6,"N560UA",318,337,296,56,75,"SFO","JFK",2586,6,16,0,"",0,56,0,0,0,0
2005,8,12,5,739,745,1556,1615,"AA",24,"N394AA",317,330,290,-19,-6,"SFO","JFK",2586,11,16,0,"",0,0,0,0,0,0
2006,2,14,2,1032,1035,1357,1415,"TZ",4625,"N317TZ",325,340,304,-18,-3,"SFO","HNL",2398,6,15,0,"",0,0,0,0,0,0
2008,10,28,2,1338,1250,1625,1543,"UA",548,"N428UA",107,113,80,42,48,"SFO","SLC",599,4,23,0,"",0,0,0,0,0,42
2005,3,4,5,1229,1230,2012,1958,"FL",44,"N174AT",283,268,240,14,-1,"SFO","ATL",2139,23,20,0,"",0,0,0,0,0,0
2006,7,3,1,621,625,807,821,"UA",346,"N824UA",106,116,91,-14,-4,"SFO","SEA",679,4,11,0,"",0,0,0,0,0,0
2006,4,7,5,1347,1340,1637,1625,"UA",65,"N548UA",350,345,311,12,7,"SFO","LIH",2447,5,34,0,"",0,0,0,0,0,0
2008,7,7,1,655,700,1436,1445,"FL",46,"N283AT",281,285,263,-9,-5,"SFO","ATL",2139,8,10,0,"",0,NA,NA,NA,NA,NA
2008,12,16,2,1333,1305,1448,1443,"UA",1161,"N335UA",75,98,55,5,28,"SFO","LAX",337,8,12,0,"",0,NA,NA,NA,NA,NA
2006,4,10,1,1020,1024,1136,1144,"AA",2446,"N586AA",76,80,57,-8,-4,"SFO","LAX",337,8,11,0,"",0,0,0,0,0,0
2006,3,6,1,1557,1600,11,19,"AA",20,"N324AA",314,319,292,-8,-3,"SFO","JFK",2586,9,13,0,"",0,0,0,0,0,0
2005,9,16,5,726,732,803,810,"OO",6464,"N905SW",37,38,21,-7,-6,"SFO","SMF",86,3,13,0,"",0,0,0,0,0,0
2005,11,7,1,1313,1225,1855,1804,"NW",360,"N521US",222,219,174,51,48,"SFO","MSP",1589,10,38,0,"",0,0,32,3,0,16
2007,2,22,4,1450,1435,2247,2238,"UA",294,"N589UA",297,303,267,9,15,"SFO","BWI",2457,5,25,0,"",0,0,0,0,0,0
2006,3,28,2,1757,1717,2307,2237,"AA",566,"N274AA",190,200,171,30,40,"SFO","DFW",1464,4,15,0,"",0,0,0,0,0,30
2007,3,17,6,2009,2015,2131,2139,"OO",6334,"N936SW",82,84,66,-8,-6,"SFO","EUG",451,4,12,0,"",0,0,0,0,0,0
2007,7,22,7,4,2230,140,2356,"OO",6412,"N956SW",96,86,59,104,94,"SFO","EUG",451,5,32,0,"",0,0,0,0,0,104
2006,9,30,6,1037,1040,1634,1651,"UA",906,"N837UA",237,251,215,-17,-3,"SFO","ORD",1846,3,19,0,"",0,0,0,0,0,0
2007,5,17,4,714,722,828,843,"OO",6193,"N284YV",74,81,55,-15,-8,"SFO","BFL",238,4,15,0,"",0,0,0,0,0,0
2006,7,26,3,2320,2330,716,734,"UA",821,"N404UA",296,304,277,-18,-10,"SFO","IAD",2419,6,13,0,"",0,0,0,0,0,0
2006,11,26,7,2148,1958,2317,2128,"AS",360,"N792AS",89,90,66,109,110,"SFO","SAN",447,9,14,0,"",0,0,0,3,0,106
2008,2,12,2,1422,1425,1754,1755,"UA",720,"N371UA",152,150,126,-1,-3,"SFO","DEN",967,10,16,0,"",0,NA,NA,NA,NA,NA
2008,3,3,1,2204,2215,628,641,"DL",418,"N3764D",324,326,298,-13,-11,"SFO","JFK",2586,9,17,0,"",0,NA,NA,NA,NA,NA
2007,10,13,6,1144,1150,1931,1922,"DL",162,"N134DL",287,272,249,9,-6,"SFO","ATL",2139,21,17,0,"",0,0,0,0,0,0
2005,8,5,5,NA,1830,NA,2026,"UA",1494,"000000",NA,116,NA,NA,NA,"SFO","PHX",651,0,0,1,"A",0,0,0,0,0,0
2005,9,9,5,1349,1215,2243,2044,"UA",76,"N510UA",354,329,298,119,94,"SFO","JFK",2586,11,45,0,"",0,0,0,119,0,0
2006,6,27,2,2115,2052,2206,2149,"OO",5796,"N295SW",51,57,31,17,23,"SFO","CIC",153,5,15,0,"",0,0,0,0,0,17
2005,12,21,3,1801,1800,2145,2132,"DL",219,"N843MH",344,332,318,13,1,"SFO","HNL",2398,11,15,0,"",0,0,0,0,0,0
2008,12,29,1,911,905,1230,1230,"UA",73,"N212UA",319,325,300,0,6,"SFO","HNL",2398,3,16,0,"",0,NA,NA,NA,NA,NA
2005,4,10,7,1949,1945,2141,2146,"UA",506,"N302UA",112,121,98,-5,4,"SFO","SEA",679,4,10,0,"",0,0,0,0,0,0
2007,6,28,4,641,646,724,725,"OO",5580,"N565SW",43,39,22,-1,-5,"SFO","MRY",77,3,18,0,"",0,0,0,0,0,0
2007,2,18,7,1406,1405,2134,2137,"DL",1648,"N630DL",268,272,242,-3,1,"SFO","ATL",2139,11,15,0,"",0,0,0,0,0,0
2008,11,20,4,1302,1303,2123,2139,"UA",88,"N807UA",321,336,294,-16,-1,"SFO","EWR",2565,6,21,0,"",0,NA,NA,NA,NA,NA
2006,8,22,2,1347,1355,1507,1514,"OO",6172,"N226SW",80,79,64,-7,-8,"SFO","SBA",262,3,13,0,"",0,0,0,0,0,0
2007,8,30,4,2026,2032,2342,2352,"OO",6422,"N916SW",136,140,113,-10,-6,"SFO","ABQ",896,5,18,0,"",0,0,0,0,0,0
2008,4,11,5,2303,2305,503,505,"UA",158,"N673UA",240,240,221,-2,-2,"SFO","ORD",1846,7,12,0,"",0,NA,NA,NA,NA,NA
2005,3,23,3,1344,1345,2248,2205,"AA",178,"N395AA",364,320,324,43,-1,"SFO","JFK",2586,21,19,0,"",0,0,0,43,0,0
2006,10,19,4,828,819,934,924,"OO",6257,"N218SW",66,65,47,10,9,"SFO","SBP",191,3,16,0,"",0,0,0,0,0,0
2008,11,9,7,1328,1333,1539,1542,"UA",820,"N569UA",131,129,102,-3,-5,"SFO","SEA",679,6,23,0,"",0,NA,NA,NA,NA,NA
2006,1,2,1,652,645,1428,1429,"US",994,"N185UW",276,284,252,-1,7,"SFO","CLT",2296,6,18,0,"",0,0,0,0,0,0
2008,12,3,3,844,853,1017,1014,"OO",5474,"N288SW",93,81,60,3,-9,"SFO","ACV",250,4,29,0,"",0,NA,NA,NA,NA,NA
2007,5,16,3,1125,1115,2000,1930,"US",706,"N162UW",335,315,309,30,10,"SFO","PHL",2521,8,18,0,"",0,8,0,20,0,2
2006,4,27,4,1207,1212,1822,1802,"CO",1466,"N33209",255,230,210,20,-5,"SFO","IAH",1635,33,12,0,"",0,0,0,20,0,0
2007,4,9,1,1807,1815,1956,2012,"OO",6564,"N944SW",109,117,92,-16,-8,"SFO","TUS",751,4,13,0,"",0,0,0,0,0,0
2008,9,9,2,916,810,1759,1640,"AA",24,"N638AA",343,330,300,79,66,"SFO","JFK",2586,14,29,0,"",0,0,0,79,0,0
2007,1,28,7,1458,1500,1751,1743,"OO",3785,"N432SW",113,103,87,8,-2,"SFO","SLC",599,13,13,0,"",0,0,0,0,0,0
2007,12,24,1,1101,1107,1237,1235,"UA",501,"N301UA",96,88,72,2,-6,"SFO","SAN",447,3,21,0,"",0,0,0,0,0,0
2007,11,5,1,1332,1335,1411,1416,"OO",5718,"N232SW",39,41,21,-5,-3,"SFO","MOD",78,3,15,0,"",0,0,0,0,0,0
2008,4,13,7,1943,1920,2135,2120,"WN",3774,"N685SW",112,120,94,15,23,"SFO","PHX",651,4,14,0,"",0,15,0,0,0,0
2008,10,17,5,2015,2020,2143,2150,"UA",587,"N810UA",88,90,66,-7,-5,"SFO","SNA",372,5,17,0,"",0,NA,NA,NA,NA,NA
2007,10,18,4,1056,1050,1223,1220,"WN",1898,"N461WN",87,90,68,3,6,"SFO","LAS",414,8,11,0,"",0,0,0,0,0,0
2008,8,17,7,1356,1325,2034,1940,"AA",1472,"N437AA",278,255,237,54,31,"SFO","ORD",1846,6,35,0,"",0,10,0,23,0,21
2007,12,23,7,1258,1303,1640,1629,"UA",770,"N513UA",162,146,131,11,-5,"SFO","DEN",967,4,27,0,"",0,0,0,0,0,0
2005,6,4,6,1056,1100,1642,1700,"UA",378,"N808UA",226,240,208,-18,-4,"SFO","IAH",1635,3,15,0,"",0,0,0,0,0,0
2008,4,15,2,1522,1530,1812,1819,"DL",1180,"N910DN",110,109,88,-7,-8,"SFO","SLC",599,5,17,0,"",0,NA,NA,NA,NA,NA
2008,2,17,7,701,702,813,758,"OO",6336,"N746SK",72,56,34,15,-1,"SFO","RNO",192,6,32,0,"",0,0,0,0,0,15
2008,10,6,1,627,630,1454,1501,"DL",72,"N6710E",327,331,299,-7,-3,"SFO","JFK",2586,7,21,0,"",0,NA,NA,NA,NA,NA
2007,5,10,4,921,907,1108,1112,"AS",399,"N773AS",107,125,88,-4,14,"SFO","SEA",679,7,12,0,"",0,0,0,0,0,0
2006,4,4,2,1352,1249,2126,2055,"UA",852,"N656UA",274,306,248,31,63,"SFO","IAD",2419,6,20,0,"",0,0,0,0,0,31
2006,2,3,5,1856,1900,2048,2059,"UA",752,"N936UA",112,119,92,-11,-4,"SFO","SEA",679,8,12,0,"",0,0,0,0,0,0
2007,6,7,4,720,722,950,951,"OO",6382,"N957SW",90,89,75,-1,-2,"SFO","BOI",522,3,12,0,"",0,0,0,0,0,0
2007,5,5,6,654,700,810,826,"US",135,"N654AW",76,86,60,-16,-6,"SFO","LAS",414,6,10,0,"",0,0,0,0,0,0
2005,12,21,3,1635,1600,52,17,"AA",20,"N339AA",317,317,292,35,35,"SFO","JFK",2586,9,16,0,"",0,35,0,0,0,0
2005,6,30,4,1210,1215,1805,1822,"NW",964,"N359NB",235,247,200,-17,-5,"SFO","MEM",1807,4,31,0,"",0,0,0,0,0,0
2007,6,13,3,1157,1200,1351,1357,"US",490,"N838AW",114,117,93,-6,-3,"SFO","PHX",651,7,14,0,"",0,0,0,0,0,0
2007,8,24,5,49,55,558,610,"AA",2466,"N460AA",189,195,169,-12,-6,"SFO","DFW",1464,4,16,0,"",0,0,0,0,0,0
2005,4,28,4,1313,1315,2121,2135,"CO",549,"N14250",308,320,289,-14,-2,"SFO","EWR",2565,6,13,0,"",0,0,0,0,0,0
2006,11,26,7,844,848,1648,1713,"UA",90,"N592UA",304,325,281,-25,-4,"SFO","EWR",2565,6,17,0,"",0,0,0,0,0,0
2006,7,19,3,1343,856,1520,1036,"UA",704,"N903UA",97,100,73,284,287,"SFO","PDX",550,1,23,0,"",0,13,0,0,0,271
2005,8,20,6,1302,1250,1536,1510,"UA",37,"N545UA",334,320,308,26,12,"SFO","KOA",2367,3,23,0,"",0,12,0,14,0,0
2005,11,19,6,1402,1402,1524,1527,"OO",6408,"N924SW",82,85,67,-3,0,"SFO","EUG",451,3,12,0,"",0,0,0,0,0,0
2008,10,20,1,1657,1558,1822,1720,"OO",5554,"N581SW",85,82,57,62,59,"SFO","SBA",262,5,23,0,"",0,0,0,3,0,59
2008,1,5,6,2134,2010,53,2330,"F9",664,"N922FR",139,140,107,83,84,"SFO","DEN",967,10,22,0,"",0,0,0,18,0,65
2005,1,21,5,1335,1315,2136,2130,"CO",349,"N78285",301,315,280,6,20,"SFO","EWR",2565,10,11,0,"",0,0,0,0,0,0
2008,4,12,6,1617,1515,1836,1741,"NW",221,"N583NW",319,326,302,55,62,"SFO","HNL",2398,2,15,0,"",0,0,0,0,0,55
2006,10,29,7,1320,1050,1633,1415,"F9",654,"N906FR",133,145,113,138,150,"SFO","DEN",967,9,11,0,"",0,138,0,0,0,0
2005,11,19,6,858,905,1029,1033,"UA",1410,"N493UA",91,88,69,-4,-7,"SFO","LAS",414,7,15,0,"",0,0,0,0,0,0
2008,12,19,5,2151,1940,104,2310,"WN",208,"N508SW",133,150,117,114,131,"SFO","DEN",967,5,11,0,"",0,42,0,0,0,72
2005,1,10,1,640,631,725,710,"OO",6260,"N583SW",45,39,24,15,9,"SFO","SMF",86,5,16,0,"",0,15,0,0,0,0
2008,6,13,5,619,626,1153,1159,"NW",368,"N504US",214,213,188,-6,-7,"SFO","MSP",1589,8,18,0,"",0,NA,NA,NA,NA,NA
2007,12,3,1,2302,2305,710,730,"B6",648,"N646JB",308,325,282,-20,-3,"SFO","JFK",2586,4,22,0,"",0,0,0,0,0,0
2007,6,14,4,1310,1300,2236,2145,"DL",1671,"N644DL",386,345,341,51,10,"SFO","JFK",2586,13,32,0,"",0,0,0,51,0,0
2005,2,9,3,2223,2230,606,606,"US",85,"N108UW",283,276,254,0,-7,"SFO","PIT",2254,9,20,0,"",0,0,0,0,0,0
2008,7,18,5,2156,1855,19,2120,"UA",79,"N669UA",323,325,304,179,181,"SFO","HNL",2398,3,16,0,"",0,30,0,0,0,149
2006,3,25,6,NA,1355,NA,1433,"OO",6216,"0",NA,38,NA,NA,NA,"SFO","MRY",77,0,0,1,"C",0,0,0,0,0,0
2006,10,17,2,1204,1138,1907,1900,"DL",36,"N631DL",243,262,225,7,26,"SFO","CVG",2036,4,14,0,"",0,0,0,0,0,0
2006,8,11,5,1153,1155,1245,1238,"OO",6168,"N581SW",52,43,39,7,-2,"SFO","MRY",77,3,10,0,"",0,0,0,0,0,0
2007,11,26,1,1411,1415,1949,1959,"CO",430,"N24202",218,224,200,-10,-4,"SFO","IAH",1635,5,13,0,"",0,0,0,0,0,0
2005,7,4,1,1815,1825,2046,2110,"OO",6462,"N945SW",91,105,75,-24,-10,"SFO","SLC",599,5,11,0,"",0,0,0,0,0,0
2007,4,13,5,1439,1450,1647,1723,"UA",37,"N665UA",308,333,289,-36,-11,"SFO","OGG",2338,4,15,0,"",0,0,0,0,0,0
2008,6,10,2,NA,1700,NA,1820,"WN",2006,"",NA,80,NA,NA,NA,"SFO","LAX",337,NA,NA,1,"A",0,NA,NA,NA,NA,NA
2006,1,9,1,2217,2220,614,622,"UA",222,"N409UA",297,302,274,-8,-3,"SFO","IAD",2419,7,16,0,"",0,0,0,0,0,0
2007,6,6,3,1530,1530,2357,2355,"AA",20,"N320AA",327,325,301,2,0,"SFO","JFK",2586,14,12,0,"",0,0,0,0,0,0
2007,12,17,1,1429,1400,1510,1445,"OO",5525,"N223SW",41,45,20,25,29,"SFO","SMF",86,5,16,0,"",0,25,0,0,0,0
2008,9,16,2,1258,1230,1455,1434,"AS",317,"N569AS",117,124,88,21,28,"SFO","SEA",679,7,22,0,"",0,0,0,0,0,21
2006,5,31,3,1416,1417,1526,1521,"OO",6254,"N295UX",70,64,48,5,-1,"SFO","SBP",191,2,20,0,"",0,0,0,0,0,0
2006,12,13,3,1150,1045,1716,1610,"AA",316,"N4XGAA",206,205,179,66,65,"SFO","DFW",1464,9,18,0,"",0,0,0,1,0,65
2007,11,18,7,1645,1430,1835,1555,"WN",801,"N474WN",110,85,61,160,135,"SFO","LAX",337,6,43,0,"",0,5,0,25,0,130
2008,11,11,2,553,600,848,854,"US",634,"N813AW",115,114,90,-6,-7,"SFO","PHX",651,12,13,0,"",0,NA,NA,NA,NA,NA
2008,1,13,7,1147,1155,1311,1313,"XE",7764,"N10575",84,78,56,-2,-8,"SFO","LAX",337,12,16,0,"",0,NA,NA,NA,NA,NA
2007,3,19,1,1809,1815,1909,1911,"OO",6186,"N569SW",60,56,40,-2,-6,"SFO","FAT",158,3,17,0,"",0,0,0,0,0,0
2005,2,5,6,857,900,1228,1245,"UA",33,"N543UA",331,345,309,-17,-3,"SFO","LIH",2447,4,18,0,"",0,0,0,0,0,0
2006,12,24,7,1134,1050,1504,1420,"UA",862,"N566UA",150,150,124,44,44,"SFO","DEN",967,6,20,0,"",0,44,0,0,0,0
2007,7,15,7,1447,1450,2336,2325,"B6",646,"N568JB",529,515,489,11,-3,"SFO","JFK",2586,6,34,0,"",0,0,0,0,0,0
2007,8,22,3,954,840,1818,1719,"UA",172,"N501UA",324,339,300,59,74,"SFO","BOS",2704,7,17,0,"",0,0,0,0,0,59
2007,2,24,6,613,620,1337,1355,"DL",977,"N122DL",264,275,237,-18,-7,"SFO","ATL",2139,11,16,0,"",0,0,0,0,0,0
2007,11,29,4,2030,2037,2159,2218,"OO",5488,"N393SW",89,101,69,-19,-7,"SFO","MFR",329,6,14,0,"",0,0,0,0,0,0
2006,8,3,4,1754,1700,1916,1823,"UA",293,"N809UA",82,83,58,53,54,"SFO","LAX",337,10,14,0,"",0,6,0,0,0,47
2008,11,18,2,1305,1310,2136,2142,"UA",824,"N506UA",331,332,311,-6,-5,"SFO","BOS",2704,4,16,0,"",0,NA,NA,NA,NA,NA
2008,5,7,3,1929,1930,2053,2101,"UA",1582,"N475UA",84,91,66,-8,-1,"SFO","LAS",414,4,14,0,"",0,NA,NA,NA,NA,NA
2007,5,20,7,2359,2320,836,754,"UA",180,"N574UA",337,334,315,42,39,"SFO","BOS",2704,9,13,0,"",0,0,0,3,0,39
2008,6,30,1,2107,2107,2225,2227,"OO",5490,"N583SW",78,80,58,-2,0,"SFO","SBA",262,4,16,0,"",0,NA,NA,NA,NA,NA
2007,4,25,3,718,725,909,927,"AS",351,"N323AS",111,122,94,-18,-7,"SFO","SEA",679,3,14,0,"",0,0,0,0,0,0
2008,6,28,6,738,739,902,856,"OO",5522,"N234SW",84,77,64,6,-1,"SFO","BFL",238,4,16,0,"",0,NA,NA,NA,NA,NA
2007,5,13,7,1120,1119,1217,1216,"OO",5737,"N291SW",57,57,36,1,1,"SFO","CIC",153,3,18,0,"",0,0,0,0,0,0
2005,6,2,4,826,835,921,933,"OO",6436,"N956SW",55,58,31,-12,-9,"SFO","RNO",192,5,19,0,"",0,0,0,0,0,0
2006,9,5,2,2039,2037,2154,2159,"AS",498,"N708AS",75,82,60,-5,2,"SFO","PSP",421,4,11,0,"",0,0,0,0,0,0
2007,8,27,1,807,711,921,827,"OO",5445,"N297SW",74,76,53,54,56,"SFO","BFL",238,2,19,0,"",0,54,0,0,0,0
2006,1,10,2,756,800,920,925,"UA",659,"N804UA",84,85,69,-5,-4,"SFO","SAN",447,1,14,0,"",0,0,0,0,0,0
2005,2,18,5,33,2320,623,515,"UA",158,"N528UA",230,235,208,68,73,"SFO","ORD",1846,5,17,0,"",0,9,0,0,0,59
2005,7,17,7,1819,1824,1942,1950,"MQ",3185,"N848AE",83,86,70,-8,-5,"SFO","SNA",372,4,9,0,"",0,0,0,0,0,0
2006,9,9,6,1457,1500,1736,1744,"OO",3785,"N863AS",99,104,81,-8,-3,"SFO","SLC",599,9,9,0,"",0,0,0,0,0,0
2006,12,8,5,1608,1555,1746,1723,"UA",1468,"N447UA",98,88,68,23,13,"SFO","LAS",414,5,25,0,"",0,13,0,10,0,0
2006,7,22,6,2220,2200,556,530,"NW",346,"N531US",276,270,250,26,20,"SFO","DTW",2079,5,21,0,"",0,20,0,6,0,0
2008,8,26,2,914,910,1115,1110,"US",612,"N804AW",121,120,91,5,4,"SFO","PHX",651,11,19,0,"",0,NA,NA,NA,NA,NA
2006,3,28,2,1530,1320,1654,1452,"OO",6253,"N221SW",84,92,71,122,130,"SFO","MFR",329,3,10,0,"",0,122,0,0,0,0
2006,11,28,2,1201,1200,1447,1452,"US",46,"N840AW",106,112,88,-5,1,"SFO","PHX",651,7,11,0,"",0,0,0,0,0,0
